URL 		 LinksSize 		 Pagescore 		 Pagelen 		 timeWhenfeteched
http://journalism.nyu.edu/graduate/courses-of-study/ 		169 		2.01122446567 		34447 		14:30:22.780000
http://www.bookstores.nyu.edu/main.store/#navigation 		0 		2.1329601274 		292 		14:30:32.357000
https://home.nyu.edu/academics/ 		3 		1.59768072495 		4624 		14:30:09.364000
http://www.bookstores.nyu.edu/#navigation 		0 		1.88427550351 		292 		14:30:12.770000
http://www.bookstores.nyu.edu/events/#navigation 		0 		2.07919041681 		292 		14:30:27.384000
http://philosophy.fas.nyu.edu/page/deptintranet 		42 		1.24822226953 		23621 		14:30:24.750000
http://wagner.nyu.edu/courses#main-menu 		322 		1.77448966855 		88129 		14:30:10.388000
http://wagner.nyu.edu 		449 		1.77448966855 		148771 		14:30:11.827000
http://www.bookstores.nyu.edu/computer.store/about/ 		0 		2.15634823496 		292 		14:30:33.574000
http://www.bookstores.nyu.edu/contact/ 		53 		1.88447861296 		90197 		14:30:29.413000
http://www.bookstores.nyu.edu/hours.locations/ 		51 		1.88447861296 		92453 		14:30:17.464000
http://www.bookstores.nyu.edu/about/contact/ 		0 		2.0226432563 		292 		14:30:36.046000
http://cas.nyu.edu 		62 		1.78268718655 		18849 		14:30:14.920000
http://nyuad.nyu.edu/academics/undergraduate-programs/courses.html 		2202 		0.902677445866 		2456467 		14:30:08.931000
http://www.bookstores.nyu.edu/about/#navigation 		0 		2.02306544439 		292 		14:30:15.998000
http://wagner.nyu.edu/' + val.ss_url + ' 		300 		2.15115379503 		71951 		14:30:23.493000
http://www.bookstores.nyu.edu/events/ 		56 		1.88470164805 		96334 		14:30:24.784000
http://www.bookstores.nyu.edu/hours.locations/about/ 		0 		2.03964274692 		292 		14:30:24.538000
http://www.scps.nyu.edu/Noncredit.html 		102 		1.39654575861 		34682 		14:29:57.875000
http://philosophy.fas.nyu.edu/page/courses 		42 		0.832148179689 		23485 		14:29:57.775000
http://journalism.nyu.edu/ 		250 		2.01122446567 		55183 		14:30:01.723000
http://www.bookstores.nyu.edu/nyu.authors/about/ 		0 		2.0208158786 		292 		14:30:26.424000
http://www.bookstores.nyu.edu/hours.locations/faqs/ 		0 		2.03981875615 		292 		14:30:33.554000
http://www.bookstores.nyu.edu/about/faqs/ 		0 		2.0227938952 		292 		14:30:33.339000
http://philosophy.fas.nyu.edu/page/aboutas 		32 		1.70934361476 		22209 		14:30:24.661000
http://philosophy.fas.nyu.edu/object/link.gsas 		61 		1.24822226953 		18882 		14:30:09.979000
http://wagner.nyu.edu/connect 		352 		1.77448966855 		92876 		14:30:29.170000
http://ionadmin.fas.nyu.edu/admin/ContextPageEditAction.ion?method=setup&key=3529 		0 		2.33912181877 		4496 		14:30:33.914000
Errorcodeurl error unknown url type
Errorcodesocket error [Errno 11004] getaddrinfo failed
Errorcodesocket error [Errno 11004] getaddrinfo failed
Errorcodesocket error [Errno 11004] getaddrinfo failed
Errorcodeurl error unknown url type
Total size of the pages that were downloaded is : 5715639
